dpid,g_gsDatasetInfo,id,hkgsDataProviderList,uuid
1992C279,Integrated Vocational Training Centre,915edee0-79f4-4e3a-ad42-9abf4a51966b,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
5BE565B4,International Schools (Primary),c64e5114-a331-4f5d-af74-06bc71694225,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
5BE565B4,International Schools (Secondary),b819c93e-d17b-46b9-8b30-03302c7f77b9,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
7150920,Job Centres,fa2ab453-69e1-45ba-bde6-4cc1d8fcaf2e,Labour Department,8caa89e8-c62b-40ad-9667-fe434607d745
5BE565B4,Kindergarten-cum-child Care Centres,3fce2900-bd6d-4ee5-9cc8-6a759adcf3e8,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
5BE565B4,Kindergartens,1fe3ee7d-41ad-4249-abd6-f67932cdfa54,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
165E709F,Libraries,7bd8e9d4-26c8-449b-9cef-601c8b1d3682,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
C3A32C4B,Licensing Offices,5f041fa8-95ae-4cde-87cf-397be504f1d9,Transport Department,27bdf3ec-9fb1-4200-a0c7-4dced2e37929
1992C279,Long Stay Care Home,333d8e16-e951-486b-9649-2fed2297a7e8,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
5D6ACD9E,Marine Parks,3474c0cf-c44f-46b8-883b-0fe99547ef5f,Agriculture Fisheries and Conservation Department,4fcad63f-6e71-4873-a1c2-85c3fa682e1f
5D6ACD9E,Marine Reserve,dfdfcd17-8772-44de-91c2-6a788094ecf7,Agriculture Fisheries and Conservation Department,4fcad63f-6e71-4873-a1c2-85c3fa682e1f
8286E747,Marriage Registries,0841507d-ffb6-4f61-94e3-e30abec1c7b5,Immigration Department,9034ef82-7daa-40c7-be98-0f276101cd18
1992C279,Medical Social Services Units,b708dd95-a86a-44a6-b9bf-0545112c0e15,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Multi-service Centre for Hearing Impaired Persons,a50729e5-d8b0-45a8-9987-eb36ffbf790d,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
