GeographyID,Average annual childcare costs paid by relevant households paying childcare costs,Childcare costs paid by relevant households as a % of median income
E01033638," £3,128.57 ",13.85%
E01009347," £2,914.83 ",12.27%
E01009348," £2,863.09 ",10.38%
E01009358," £3,178.62 ",12.01%
E01033559," £2,438.69 ",6.60%
E01008907," £3,149.53 ",14.14%
E01009355," £3,209.84 ",12.29%
E01009048," £3,213.62 ",10.82%
E01009047," £3,503.90 ",13.65%
E01009059," £3,362.01 ",15.04%
E01008905," £3,996.84 ",13.39%
E01008906," £3,838.50 ",13.91%
E01008909," £3,561.34 ",12.70%
E01034925," £3,355.30 ",11.28%
E01008911," £3,025.48 ",15.33%
E01034929," £2,820.26 ",14.39%
E01009267," £2,883.23 ",6.90%
E01009264," £2,583.18 ",10.58%
E01009266," £3,271.20 ",11.09%
E01009278," £3,034.48 ",6.58%
E01009262," £3,019.59 ",6.48%
E01009279," £3,091.85 ",6.53%
E01009276," £3,034.87 ",7.47%
E01032591," £3,160.56 ",7.04%
E01009263," £2,887.85 ",9.25%
E01009049," £3,107.19 ",9.54%
E01009050," £3,082.63 ",11.16%
E01009352," £3,597.67 ",11.55%
E01009056," £3,009.23 ",10.52%
E01009265," £2,975.11 ",8.21%
E01009270," £3,505.76 ",12.83%
E01009350," £3,724.65 ",13.42%
E01009051," £3,522.12 ",11.31%
E01034918," £3,107.77 ",9.60%
E01009242," £3,087.44 ",8.42%
E01034917," £3,310.92 ",11.72%
E01009057," £3,498.94 ",13.79%
E01009272," £3,223.39 ",11.57%
E01009349," £3,305.51 ",14.22%
E01009351," £3,563.09 ",13.39%
E01009354," £3,334.46 ",14.56%
E01009274," £3,288.70 ",11.32%
E01009275," £3,568.84 ",12.08%
E01034922," £3,377.52 ",12.95%
E01034921," £3,473.83 ",11.87%
E01009273," £3,249.13 ",10.34%
E01009271," £3,419.69 ",11.94%
E01009269," £3,602.68 ",12.46%
E01009268," £3,207.72 ",8.00%
E01009353," £3,603.74 ",12.13%
E01034913," £3,139.54 ",9.88%
E01009136," £2,766.32 ",10.55%
E01034914," £3,073.89 ",9.29%
E01009002," £2,899.71 ",10.20%
E01009122," £3,055.74 ",10.84%
E01009132," £3,267.58 ",10.72%
E01009406," £2,939.51 ",10.35%
E01009404," £2,964.49 ",9.48%
E01034915," £2,926.43 ",10.71%
E01009403," £3,077.49 ",9.49%
E01009458," £2,498.69 ",5.98%
E01009123," £2,973.61 ",9.64%
E01009001," £2,663.78 ",7.08%
E01009472," £2,773.95 ",5.34%
E01009135," £2,492.07 ",6.26%
E01009405," £2,948.19 ",8.45%
E01009407," £2,757.86 ",8.14%
E01009460," £2,581.53 ",6.83%
E01009006," £2,758.08 ",7.79%
E01009003," £2,575.93 ",6.51%
E01033646," £2,805.37 ",10.54%
E01033630," £2,567.74 ",9.19%
E01009413," £3,042.97 ",9.25%
E01009013," £2,775.43 ",8.64%
E01009000," £2,790.56 ",9.39%
E01009409," £2,945.89 ",9.73%
E01009408," £3,062.13 ",9.79%
E01009007," £2,854.55 ",9.29%
E01034916," £2,590.86 ",6.73%
E01009411," £2,754.35 ",8.69%
E01009414," £3,089.39 ",9.40%
E01009124," £3,060.68 ",13.69%
E01009126," £2,866.00 ",7.01%
E01009410," £2,885.53 ",9.14%
E01009125," £3,167.79 ",9.67%
E01009412," £3,115.20 ",10.21%
E01009401," £3,166.97 ",11.37%
E01009008," £2,928.87 ",7.27%
E01009105," £2,850.54 ",7.05%
E01009005," £2,644.48 ",7.56%
E01009100," £2,842.82 ",7.52%
E01009009," £2,536.24 ",6.16%
E01009011," £2,928.88 ",9.67%
E01009461," £2,488.33 ",4.23%
E01009098," £2,732.03 ",7.52%
E01009096," £2,984.99 ",14.54%
E01009102," £2,907.29 ",9.05%
E01008999," £3,219.90 ",8.52%
E01009104," £3,119.80 ",10.45%
E01009400," £3,045.80 ",9.42%
E01008998," £3,337.81 ",10.54%
E01009012," £2,830.02 ",7.26%
E01008887," £2,981.13 ",8.68%
E01008883," £3,281.46 ",9.04%
E01008882," £3,284.87 ",10.68%
E01008886," £2,968.91 ",8.76%
E01008898," £3,334.89 ",10.24%
E01008881," £3,315.45 ",9.25%
E01008896," £3,269.86 ",9.87%
E01008897," £3,140.26 ",8.93%
E01009515," £2,887.31 ",8.64%
E01009513," £3,247.62 ",9.47%
E01009521," £2,915.12 ",7.05%
E01009518," £2,915.61 ",7.92%
E01008885," £2,879.44 ",7.20%
E01008891," £2,643.28 ",6.54%
E01008888," £2,957.25 ",6.85%
E01010162," £2,778.68 ",6.47%
E01009313," £2,906.06 ",7.44%
E01009312," £2,806.25 ",6.55%
E01009316," £2,687.08 ",7.40%
E01009520," £2,718.36 ",6.84%
E01009324," £2,797.74 ",7.58%
E01009516," £2,996.38 ",8.07%
E01009517," £2,927.04 ",8.27%
E01009514," £3,097.04 ",9.16%
E01009519," £2,748.44 ",6.87%
E01009323," £3,117.88 ",8.88%
E01009314," £2,964.21 ",9.02%
E01009322," £2,923.70 ",9.76%
